segment,customers,avg_monetary,total_monetary,pct_customers,pct_revenue
"New (single order, recent)",25134,116.11648842205777,2918471.82,0.2692217056920671,0.1892351469904146
Lost / Lapsed,22728,72.97411342837029,1658555.65,0.24344994537158038,0.10754156338557096
Others,16370,131.38680696395843,2150802.03,0.17534651556374387,0.13945906056215823
Champions,14325,293.2818338568935,4201262.27,0.15344159043681313,0.27241191015122873
"At Risk (high value, lapsed)",13592,301.9275779870512,4103799.64,0.14559009404657342,0.2660923853274042
Loyal / Repeat,1209,322.2252770885029,389570.36,0.012950148889222133,0.02525993358322327
